id,name_key,category,build_cost,upkeep,build_turns,max_per_province,requires_coast,dev_bonus,infra_bonus,icon
1,BLD_FARM,Production,150,1,2,4,0,0.05,0,farm
2,BLD_MINE,Resource,250,2,3,2,0,0.04,0,mine
3,BLD_FACTORY,Production,400,4,4,3,0,0.10,0,factory
4,BLD_PORT,Infrastructure,300,3,3,1,1,0.02,0.15,port
5,BLD_BARRACKS,Military,200,2,2,2,0,0,0.05,barracks
6,BLD_FORT,Military,350,3,4,1,0,0,0.08,fort
7,BLD_UNIVERSITY,Education,500,5,5,1,0,0.08,0.05,university
8,BLD_HOSPITAL,Health,450,4,4,1,0,0.03,0.03,hospital
9,BLD_ROAD,Infrastructure,100,1,1,5,0,0,0.10,road
10,BLD_POWER_PLANT,Production,550,6,5,2,0,0.15,0.05,power_plant
