id,name_key,family
1,CUL_ENGLISH,Germanic
2,CUL_FRENCH,Romance
3,CUL_GERMAN,Germanic
4,CUL_SPANISH,Romance
5,CUL_PORTUGUESE,Romance
6,CUL_ITALIAN,Romance
7,CUL_RUSSIAN,Slavic
8,CUL_UKRAINIAN,Slavic
9,CUL_POLISH,Slavic
10,CUL_CZECH,Slavic
11,CUL_DUTCH,Germanic
12,CUL_SCANDINAVIAN,Germanic
13,CUL_GREEK,Hellenic
14,CUL_SOUTH_SLAVIC,Slavic
15,CUL_ROMANIAN,Romance
16,CUL_HUNGARIAN,Uralic
17,CUL_FINNISH,Uralic
18,CUL_BALTIC,Baltic
19,CUL_IRISH,Celtic
20,CUL_SCOTTISH,Celtic
21,CUL_WELSH,Celtic
22,CUL_BASQUE,Isolate
23,CUL_CATALAN,Romance
24,CUL_ALBANIAN,Albanian
25,CUL_BULGARIAN,Slavic
26,CUL_BELARUSIAN,Slavic
27,CUL_ARABIC,Semitic
28,CUL_PERSIAN,Iranian
29,CUL_TURKISH,Turkic
30,CUL_KURDISH,Iranian
31,CUL_HEBREW,Semitic
32,CUL_BERBER,Afroasiatic
33,CUL_HINDI,Indo-Aryan
34,CUL_BENGALI,Indo-Aryan
35,CUL_PUNJABI,Indo-Aryan
36,CUL_TAMIL,Dravidian
37,CUL_TELUGU,Dravidian
38,CUL_MARATHI,Indo-Aryan
39,CUL_GUJARATI,Indo-Aryan
40,CUL_URDU,Indo-Aryan
41,CUL_PASHTUN,Iranian
42,CUL_SINHALESE,Indo-Aryan
43,CUL_NEPALI,Indo-Aryan
44,CUL_TIBETAN,Tibeto-Burman
45,CUL_CHINESE,Sinitic
46,CUL_MONGOLIAN,Mongolic
47,CUL_KOREAN,Koreanic
48,CUL_JAPANESE,Japonic
49,CUL_VIETNAMESE,Austroasiatic
50,CUL_THAI,Kra-Dai
51,CUL_BURMESE,Tibeto-Burman
52,CUL_KHMER,Austroasiatic
53,CUL_FILIPINO,Austronesian
54,CUL_MALAY,Austronesian
55,CUL_KAZAKH,Turkic
56,CUL_UZBEK,Turkic
57,CUL_AMHARIC,Semitic
58,CUL_SOMALI,Cushitic
59,CUL_SWAHILI,Bantu
60,CUL_YORUBA,Benue-Congo
61,CUL_IGBO,Benue-Congo
62,CUL_HAUSA,Chadic
63,CUL_ZULU,Bantu
64,CUL_SHONA,Bantu
65,CUL_MALAGASY,Austronesian
66,CUL_OROMO,Cushitic
67,CUL_NATIVE_AMERICAN,Indigenous
68,CUL_MESTIZO,Mixed
69,CUL_CREOLE,Mixed
70,CUL_ANGLO_AUSTRALIAN,Germanic
71,CUL_MAORI,Austronesian
72,CUL_OTHER,Other
