id,name_key,category,political_cost,upkeep,tax_mult,conscription_rate,stability_bonus,military_cost_mult,research_mult,trade_mult
1,LAW_CONSCRIPTION,Military,20,0,1.0,0.05,0,1.0,1.0,1.0
2,LAW_PROFESSIONAL_ARMY,Military,30,50,1.0,0,5,1.3,1.0,1.0
3,LAW_FREE_TRADE,Economy,15,0,1.0,0,0,1.0,1.0,1.2
4,LAW_PROTECTIONISM,Economy,15,0,1.2,0,0,1.0,1.0,0.7
5,LAW_PLANNED_ECONOMY,Economy,40,0,1.3,0,0,1.0,0.8,0.6
6,LAW_MARKET_ECONOMY,Economy,20,0,1.0,0,0,1.0,1.1,1.1
7,LAW_WELFARE_STATE,Society,35,100,0.9,0,8,1.0,1.0,1.0
8,LAW_COMPULSORY_EDUCATION,Society,25,80,1.0,0,3,1.0,1.2,1.0
9,LAW_UNIVERSAL_HEALTHCARE,Society,30,90,1.0,0,4,1.0,1.0,1.0
10,LAW_CENSORSHIP,Government,15,10,1.0,0,2,1.0,0.9,1.0
11,LAW_FREE_PRESS,Government,15,0,1.0,0,1,1.0,1.05,1.0
