code,leader_2024,leader_1936
AFG,Hibatullah Akhundzada,Mohammad Zahir Shah
AGO,João Lourenço,
ALB,Bajram Begaj,Zog I
AND,Xavier Espot Zamora,Boris Skossyreff
ARE,Mohamed bin Zayed Al Nahyan,
ARG,Javier Milei,Agustín Pedro Justo
ARM,Vahagn Khachaturyan,
ATG,Charles III,
AUS,Anthony Albanese,Joseph Lyons
AUT,Alexander Van der Bellen,Kurt Schuschnigg
AZE,Ilham Aliyev,
BDI,Évariste Ndayishimiye,
BEL,Philippe,Leopold III
BEN,Patrice Talon,
BFA,Ibrahim Traoré,
BGD,Mohammed Shahabuddin,
BGR,Rumen Radev,Boris III
BHR,Hamad bin Isa Al Khalifa,
BHS,Philip Davis,
BIH,Denis Bećirović,
BLR,Alexander Lukashenko,
BLZ,Froyla Tzalam,
BOL,Luis Arce,
BRA,Luiz Inácio Lula da Silva,Getúlio Vargas
BRB,Sandra Mason,
BRN,Hassanal Bolkiah,Ahmad Tajuddin
BTN,Jigme Khesar Namgyel Wangchuck,Jigme Wangchuck
BWA,Duma Boko,
CAF,Faustin-Archange Touadéra,
CAN,Justin Trudeau,William Lyon Mackenzie King
CHE,Viola Amherd,Albert Meyer
CHL,Gabriel Boric,Arturo Alessandri
CHN,Xi Jinping,Chiang Kai-shek
CIV,Alassane Ouattara,
CMR,Paul Biya,
COD,Félix Tshisekedi,
COG,Denis Sassou Nguesso,
COL,Gustavo Petro,Alfonso López Pumarejo
COM,Azali Assoumani,
CPV,José Maria Neves,
CRI,Rodrigo Chaves Robles,
CUB,Miguel Díaz-Canel,Federico Laredo Brú
CYP,Nikos Christodoulides,
CZE,Petr Pavel,Edvard Beneš
DEU,Olaf Scholz,Adolf Hitler
DJI,Ismaïl Omar Guelleh,
DMA,Sylvanie Burton,
DNK,Frederik X,Christian X
DOM,Luis Abinader,Rafael Trujillo
DZA,Abdelmadjid Tebboune,
ECU,Daniel Noboa,
EGY,Abdel Fattah el-Sisi,Farouk I
ERI,Isaias Afwerki,
ESP,Felipe VI,Manuel Azaña
EST,Alar Karis,Konstantin Päts
ETH,Sahle-Work Zewde,Haile Selassie
FIN,Alexander Stubb,Pehr Evind Svinhufvud
FJI,Wiliame Katonivere,
FRA,Emmanuel Macron,Albert Lebrun
FSM,Wesley Simina,
GAB,Brice Oligui Nguema,
GBR,Rishi Sunak,Edward VIII
GEO,Salome Zourabichvili,
GHA,Nana Akufo-Addo,
GIN,Mamady Doumbouya,
GMB,Adama Barrow,
GNB,Umaro Sissoco Embaló,
GNQ,Teodoro Obiang Nguema Mbasogo,
GRC,Katerina Sakellaropoulou,George II
GRD,Cécile La Grenade,
GTM,Bernardo Arévalo,Jorge Ubico
GUY,Irfaan Ali,
HND,Xiomara Castro,
HRV,Zoran Milanović,
HTI,Edgard Leblanc Fils,Sténio Vincent
HUN,Tamás Sulyok,Miklós Horthy
IDN,Prabowo Subianto,
IND,Narendra Modi,
IRL,Michael D. Higgins,Éamon de Valera
IRN,Ali Khamenei,Reza Shah
IRQ,Abdul Latif Rashid,Ghazi I
ISL,Halla Tómasdóttir,Sveinn Björnsson
ISR,Isaac Herzog,
ITA,Sergio Mattarella,Benito Mussolini
JAM,Andrew Holness,
JOR,Abdullah II,Abdullah I
JPN,Naruhito,Hirohito
KAZ,Kassym-Jomart Tokayev,
KEN,William Ruto,
KGZ,Sadyr Japarov,
KHM,Hun Manet,Norodom Sihanouk
KIR,Taneti Maamau,
KNA,Terrance Drew,
KOR,Yoon Suk Yeol,
KWT,Mishal Al-Ahmad Al-Jaber Al-Sabah,Ahmad Al-Jaber Al-Sabah
LAO,Thongloun Sisoulith,
LBN,Joseph Aoun,Émile Eddé
LBR,Joseph Boakai,
LBY,Mohamed al-Menfi,
LCA,Philip J. Pierre,
LIE,Hans-Adam II,Franz I
LKA,Anura Kumara Dissanayake,
LSO,Letsie III,
LTU,Gitanas Nausėda,Antanas Smetona
LUX,Luc Frieden,Joseph Bech
LVA,Edgars Rinkēvičs,Kārlis Ulmanis
MAR,Mohammed VI,Mohammed V
MCO,Albert II,Louis II
MDA,Maia Sandu,
MDG,Andry Rajoelina,
MDV,Mohamed Muizzu,
MEX,Claudia Sheinbaum,Lázaro Cárdenas
MHL,Hilda Heine,
MKD,Gordana Siljanovska-Davkova,
MLI,Assimi Goïta,
MLT,Myriam Spiteri Debono,
MMR,Min Aung Hlaing,
MNE,Jakov Milatović,
MNG,Ukhnaagiin Khürelsükh,
MOZ,Filipe Nyusi,
MRT,Mohamed Ould Ghazouani,
MUS,Prithvirajsing Roopun,
MWI,Lazarus Chakwera,
MYS,Anwar Ibrahim,
NAM,Nangolo Mbumba,
NER,Abdourahamane Tchiani,
NGA,Bola Tinubu,
NIC,Daniel Ortega,Anastasio Somoza García
NLD,Willem-Alexander,Wilhelmina
NOR,Harald V,Haakon VII
NPL,Ram Chandra Poudel,Tribhuvan
NRU,David Adeang,
NZL,Christopher Luxon,Michael Joseph Savage
OMN,Haitham bin Tariq,Said bin Taimur
PAK,Asif Ali Zardari,
PAN,José Raúl Mulino,
PER,Dina Boluarte,
PHL,Bongbong Marcos,Manuel L. Quezon
PLW,Surangel Whipps Jr.,
PNG,James Marape,
