code,oil_kbd,gas_bcm,coal_mt,iron_mt
RUS,10500,700,430,100
SAU,11000,110,0,0
USA,13000,950,540,50
CHN,4200,210,3900,380
IRN,3600,250,0,40
IRQ,4200,15,0,0
KWT,2700,18,0,0
ARE,3700,55,0,0
QAT,1800,180,0,0
CAN,5200,180,45,58
VEN,800,25,0,16
MEX,1900,30,8,17
BRA,3000,25,8,410
NGA,1700,45,0,0
AGO,1200,8,0,0
AZE,700,28,0,0
KAZ,1900,30,110,20
LBY,1200,12,0,0
DZA,1500,90,0,2
NOR,2000,120,0,2
GBR,900,40,0,0
IDN,700,60,600,0
AUS,350,140,450,900
ZAF,0,0,250,70
IND,700,30,900,250
UKR,60,20,30,63
POL,0,5,100,0
DEU,40,5,130,0
CHL,0,0,0,17
PER,40,12,0,15
COD,0,0,0,0
ZMB,0,0,0,0
MNG,0,0,50,8
UZB,50,55,0,0
TKM,200,80,0,0
BOL,60,15,0,0
ARG,500,45,0,0
EGY,650,60,0,0
OMN,1000,35,0,0
SYR,90,5,0,0
YEM,60,2,0,0
COL,780,11,85,0
ECU,500,1,0,0
TTO,60,30,0,0
GAB,200,2,0,0
GNQ,120,6,0,0
SDN,60,0,0,0
SDS,170,0,0,0
ROU,70,10,0,0
NLD,30,25,0,0
TUR,60,1,100,0
GRC,5,0,15,0
ESP,0,0,0,0
SWE,0,0,0,30
FIN,0,0,0,0
FRA,0,0,0,0
ITA,0,0,0,0
MYS,600,70,0,0
THA,400,30,15,0
VNM,200,8,45,0
MMR,15,15,0,0
PNG,50,10,0,0
NZL,30,5,5,0
JPN,0,0,0,0
KOR,0,0,0,0
PRK,0,0,30,0
ETH,0,0,0,0
GHA,200,2,0,0
MLI,0,0,0,0
TZA,0,0,0,0
ZWE,0,0,5,0
MOZ,0,5,10,0
BWA,0,0,3,0
NAM,0,0,0,0
LBR,0,0,0,2
MRT,0,0,0,13
SLE,0,0,0,8
GIN,0,0,0,20
MAR,0,0,0,0
TUN,40,3,0,0
ISR,0,12,0,0
CYP,0,1,0,0
GRL,0,0,0,0
SUR,16,0,0,0
GUY,0,0,0,0
CMR,80,0,0,0
CIV,30,2,0,0
BFA,0,0,0,0
NER,0,0,0,0
BGR,0,0,5,0
SRB,0,0,10,0
HRV,0,0,0,0
BIH,0,0,12,0
MKD,0,0,0,0
ALB,15,1,0,0
KOS,0,0,9,0
HUN,0,0,0,0
CZE,0,0,30,0
SVK,0,0,0,0
AUT,0,0,0,2
IRL,0,5,0,0
PRT,0,0,0,0
CHE,0,0,0,0
BEL,0,0,0,0
DNK,60,3,0,0
EST,0,0,0,0
LVA,0,0,0,0
LTU,0,0,0,0
AFG,0,0,0,0
PAK,90,30,5,0
BGD,0,20,0,0
LKA,0,0,0,0
NPL,0,0,0,0
BTN,0,0,0,0
