code,oil_kbd,gas_bcm,coal_mt,iron_mt
RUS,600,0,125,20
SAU,20,0,0,0
USA,3000,60,450,50
CHN,0,0,350,1
IRN,160,0,0,0
IRQ,80,0,0,0
KWT,0,0,0,0
ARE,0,0,0,0
QAT,0,0,0,0
CAN,25,0,14,0
VEN,500,0,0,0
MEX,120,0,0,0
BRA,0,0,1,0
NGA,0,0,0,0
AGO,0,0,0,0
AZE,400,0,0,0
KAZ,50,0,0,0
LBY,0,0,0,0
DZA,0,0,0,0
NOR,0,0,0,1
GBR,0,0,230,8
IDN,130,0,1,0
AUS,0,0,14,1
ZAF,0,0,15,1
IND,15,0,30,2
UKR,0,0,80,30
POL,10,0,60,1
DEU,5,0,300,5
CHL,0,0,0,1
PER,30,0,0,0
COD,0,0,0,0
ZMB,0,0,0,1
MNG,0,0,0,0
UZB,0,0,0,0
TKM,0,0,0,0
BOL,0,0,0,0
ARG,40,0,0,0
EGY,0,0,0,0
OMN,0,0,0,0
SYR,0,0,0,0
YEM,0,0,0,0
COL,40,0,0,0
ECU,30,0,0,0
TTO,30,0,0,0
GAB,0,0,0,0
GNQ,0,0,0,0
SDN,0,0,0,0
SDS,0,0,0,0
ROU,170,0,0,0
NLD,0,0,12,0
TUR,0,0,3,0
GRC,0,0,0,0
ESP,0,0,6,2
SWE,0,0,0,8
FIN,0,0,0,0
FRA,0,0,50,35
ITA,0,0,1,1
MYS,0,0,0,0
THA,0,0,0,0
VNM,0,0,2,0
MMR,0,0,0,0
PNG,0,0,0,0
NZL,0,0,1,0
JPN,0,0,40,0
KOR,0,0,2,0
PRK,0,0,1,0
ETH,0,0,0,0
GHA,0,0,0,0
MLI,0,0,0,0
TZA,0,0,0,0
ZWE,0,0,1,0
MOZ,0,0,0,0
BWA,0,0,0,0
NAM,0,0,0,0
LBR,0,0,0,0
MRT,0,0,0,0
SLE,0,0,0,0
GIN,0,0,0,0
MAR,0,0,0,0
TUN,0,0,0,0
ISR,0,0,0,0
CYP,0,0,0,0
GRL,0,0,0,0
SUR,0,0,0,0
GUY,0,0,0,0
CMR,0,0,0,0
CIV,0,0,0,0
BFA,0,0,0,0
NER,0,0,0,0
BGR,0,0,0,0
SRB,0,0,1,0
HRV,0,0,0,0
BIH,0,0,1,0
MKD,0,0,0,0
ALB,0,0,0,0
KOS,0,0,0,0
HUN,0,0,1,1
CZE,0,0,15,1
SVK,0,0,0,0
AUT,0,0,1,1
IRL,0,0,0,0
PRT,0,0,0,0
CHE,0,0,0,0
BEL,0,0,30,0
DNK,0,0,0,0
EST,0,0,0,0
LVA,0,0,0,0
LTU,0,0,0,0
AFG,0,0,0,0
PAK,0,0,1,0
BGD,0,0,0,0
LKA,0,0,0,0
NPL,0,0,0,0
BTN,0,0,0,0
