code,oil,gas,coal,iron,rare_metals,gold
RUS,1,1,1,1,1,1
SAU,1,1,0,0,0,0
USA,1,1,1,1,1,1
CHN,1,1,1,1,1,1
IRN,1,1,0,1,0,0
IRQ,1,1,0,0,0,0
KWT,1,1,0,0,0,0
ARE,1,1,0,0,0,0
QAT,1,1,0,0,0,0
CAN,1,1,1,1,1,1
VEN,1,1,0,1,0,0
MEX,1,1,0,1,0,1
BRA,1,0,0,1,1,1
NGA,1,1,0,0,0,0
AGO,1,1,0,0,0,0
AZE,1,1,0,0,0,0
KAZ,1,1,1,1,1,1
LBY,1,1,0,0,0,0
DZA,1,1,0,1,0,0
NOR,1,1,0,1,0,0
GBR,1,1,1,0,0,0
IDN,1,1,1,0,0,1
AUS,0,1,1,1,1,1
ZAF,0,0,1,1,1,1
IND,0,0,1,1,1,1
UKR,0,0,1,1,0,0
POL,0,0,1,0,0,0
DEU,0,0,1,0,0,0
CHL,0,0,0,0,1,1
PER,0,0,0,0,1,1
COD,0,0,0,0,1,1
ZMB,0,0,0,0,1,1
MNG,0,0,1,0,1,1
UZB,0,1,0,0,0,1
TKM,0,1,0,0,0,0
BOL,0,1,0,0,1,1
ARG,0,1,0,0,1,1
EGY,1,1,0,0,0,1
OMN,1,1,0,0,0,0
SYR,1,0,0,0,0,0
YEM,1,0,0,0,0,0
COL,1,0,1,0,0,1
ECU,1,0,0,0,0,0
TTO,1,1,0,0,0,0
GAB,1,0,0,1,0,0
GNQ,1,1,0,0,0,0
SDN,1,0,0,0,0,1
SSD,1,0,0,0,0,0
ROU,1,1,0,0,0,0
NLD,0,1,0,0,0,0
TUR,0,0,1,1,0,1
GRC,0,0,1,0,0,1
ESP,0,0,1,1,0,1
SWE,0,0,0,1,1,1
FIN,0,0,0,1,1,1
FRA,0,0,0,1,1,1
ITA,0,0,0,0,0,1
MYS,1,1,0,0,0,1
THA,0,1,0,0,0,1
VNM,0,0,1,0,0,1
MMR,0,1,0,0,1,1
PNG,0,1,0,0,1,1
NZL,0,0,1,0,0,1
JPN,0,0,1,0,0,1
KOR,0,0,1,0,0,1
PRK,0,0,1,1,0,1
ETH,0,0,0,0,1,1
GHA,0,0,0,0,1,1
MLI,0,0,0,0,1,1
TZA,0,0,0,0,1,1
ZWE,0,0,1,0,1,1
MOZ,0,1,1,0,0,0
BWA,0,0,1,0,1,1
NAM,0,0,0,0,1,1
LBR,0,0,0,1,0,0
MRT,0,0,0,1,0,0
SLE,0,0,0,1,0,0
GIN,0,0,0,1,0,1
