APP_NAME,World Diplomacy
BOOT_TITLE,WORLD DIPLOMACY
BOOT_STATUS_LOADING,Loading...
BOOT_STATUS_READY,Ready
GOOD_FOOD,Food
GOOD_TIMBER,Timber
GOOD_IRON,Iron Ore
GOOD_COAL,Coal
GOOD_OIL,Oil
GOOD_GAS,Natural Gas
GOOD_STEEL,Steel
GOOD_CEMENT,Cement
GOOD_TEXTILES,Textiles
GOOD_ELECTRONICS,Electronics
GOOD_MACHINERY,Machinery
GOOD_VEHICLES,Vehicles
GOOD_GOLD,Gold
GOOD_RARE_METALS,Rare Metals
GOOD_CONSUMER_GOODS,Consumer Goods
GOOD_ELECTRICITY,Electricity
CUR_USD,US Dollar
CUR_EUR,Euro
CUR_GBP,Pound Sterling
CUR_JPY,Yen
CUR_CNY,Yuan
CUR_RUB,Ruble
CUR_INR,Rupee
CUR_CHF,Swiss Franc
CUR_BRL,Real
CUR_OTHER,Other
BLD_FARM,Farm
BLD_MINE,Mine
BLD_FACTORY,Factory
BLD_PORT,Port
BLD_BARRACKS,Barracks
BLD_FORT,Fort
BLD_UNIVERSITY,University
BLD_HOSPITAL,Hospital
BLD_ROAD,Road
BLD_POWER_PLANT,Power Plant
GOV_MONARCHY,Monarchy
GOV_REPUBLIC,Republic
GOV_THEOCRACY,Theocracy
GOV_DICTATORSHIP,Dictatorship
GOV_TRIBAL,Tribal
GOV_CONSTITUTIONAL_MONARCHY,Constitutional Monarchy
GOV_PARLIAMENTARY_REPUBLIC,Parliamentary Republic
GOV_PRESIDENTIAL_REPUBLIC,Presidential Republic
LAW_CONSCRIPTION,Conscription
LAW_PROFESSIONAL_ARMY,Professional Army
LAW_FREE_TRADE,Free Trade
LAW_PROTECTIONISM,Protectionism
LAW_PLANNED_ECONOMY,Planned Economy
LAW_MARKET_ECONOMY,Market Economy
LAW_WELFARE_STATE,Welfare State
LAW_COMPULSORY_EDUCATION,Compulsory Education
LAW_UNIVERSAL_HEALTHCARE,Universal Healthcare
LAW_CENSORSHIP,Censorship
LAW_FREE_PRESS,Free Press
UNIT_INFANTRY,Infantry
UNIT_CAVALRY,Cavalry
UNIT_ARTILLERY,Artillery
EVT_ECONOMIC_BOOM_TITLE,Economic Boom
EVT_ECONOMIC_BOOM_DESC,Your economy is thriving.
EVT_RECESSION_TITLE,Recession
EVT_RECESSION_DESC,Your economy is contracting.
EVT_POP_GROWTH_TITLE,Population Growth
EVT_POP_GROWTH_DESC,Your population is growing.
EVT_OPT_OK,OK
unclaimed,Unclaimed
TECH_AGRICULTURE,Agriculture
TECH_ECONOMICS,Economics
TECH_MILITARY_DOCTRINE,Military Doctrine
TECH_EDUCATION,Education
TECH_ADVANCED_INDUSTRY,Advanced Industry
TECH_MODERN_LOGISTICS,Modern Logistics
FORM_SCANDINAVIA,Scandinavia
FORM_ARAB_LEAGUE,Arab League
FORM_CENTRAL_ASIA,Central Asian Union
HUD_PAUSE,Pause
HUD_SPEED_DOWN,Speed -
HUD_SPEED_UP,Speed +
HUD_END_TURN,End Turn
HUD_SAVE,Save
HUD_LOAD,Load
PANEL_PROVINCE,Province
PANEL_COUNTRY,Country
PANEL_TARGET,Target
PANEL_TECHNOLOGY,Technology
PANEL_RESEARCH,Research
PANEL_DECISIONS,Decisions
ACT_BUILD_INFRA,Build Infrastructure (-500)
ACT_RECRUIT,Recruit Army (Infantry x5)
MSG_ARMY_RECRUITED,Army recruited
ACT_TAX_PLUS,Income Tax +
ACT_TAX_MINUS,Income Tax -
ACT_CHANGE_GOV,Change Government
ACT_CHANGE_IDEOLOGY,Change Ideology
ACT_IMPROVE_REL,Improve Relations
ACT_ALLIANCE,Form Alliance
ACT_DECLARE_WAR,Declare War
ACT_WHITE_PEACE,White Peace
ACT_PEACE_CEDE,Peace: Cede Occupied
ACT_PEACE_PUPPET,Peace: Puppet
ACT_PEACE_ANNEX,Peace: Annex
ACT_EMBARGO,Toggle Embargo
ACT_TRADE_AGREEMENT,Cycle Trade Agreement
ACT_FORM,Form
MENU_NEW_GAME,New Game
MENU_CONTINUE,Continue
MENU_LOAD,Load Game
MENU_SETTINGS,Settings
MENU_CREDITS,Credits
MENU_QUIT,Quit
MENU_BACK,Back
MENU_NO_DATA,World data not found — run MapImporterTool first
NEWGAME_TITLE,New Game
NEWGAME_DATE,Start Date
NEWGAME_DIFFICULTY,Difficulty
NEWGAME_COUNTRY,Country
NEWGAME_SEARCH,Search country...
NEWGAME_SEED,Seed
NEWGAME_IRONMAN,Ironman
NEWGAME_START,Start Game
DIFF_VERY_EASY,Very Easy
DIFF_EASY,Easy
DIFF_NORMAL,Normal
DIFF_HARD,Hard
DIFF_VERY_HARD,Very Hard
SETTINGS_TITLE,Settings
SETTINGS_LANGUAGE,Language
SETTINGS_UI_SCALE,UI Scale
SETTINGS_FULLSCREEN,Display Mode
SETTINGS_WINDOWED,Windowed
SETTINGS_BORDERLESS,Borderless
SETTINGS_OPT_FULLSCREEN,Fullscreen
SETTINGS_VSYNC,VSync
SETTINGS_MASTER_VOLUME,Master Volume
SETTINGS_UI_VOLUME,UI Volume
SETTINGS_SFX_VOLUME,Effects Volume
LOAD_TITLE,Load Game
LOAD_EMPTY,No saves found
LOAD_LOAD,Load
LOAD_DELETE,Delete
CREDITS_TITLE,Credits
CREDITS_ENGINE,Engine
CREDITS_DESC,A 2D grand strategy game in the spirit of Age of History 3.
HUD_MENU,Menu
ACT_BUILD_FORT,Build Fort
MSG_FORT_FAIL,Cannot build fort here
ACT_COLONIZE,Colonize
MSG_COLONIZE_FAIL,Cannot colonize this province
ACT_RECRUIT_COMMANDER,Recruit Commander
MSG_COMMANDER_RECRUITED,Commander recruited
MSG_COMMANDER_FAIL,Cannot recruit commander
PANEL_MILITARY,Military
MIL_ARMIES,armies
MIL_UNITS,units
PANEL_BUILDINGS,Buildings
PANEL_BUILT,Built
MSG_BUILD_FAIL,Cannot build here
PANEL_DIPLOMACY,Diplomacy
MIL_SELECT_HINT,Army selected — click a province on the map to move it
HUD_GOLD,Gold
HUD_PER_DAY,/d
HUD_MANPOWER,MP
HUD_GDP,GDP
HUD_POP,Pop
HUD_STAB,Stab
PANEL_LAWS,Laws
PANEL_BUILD,Build
MACRO_HINT,Building selected — click provinces on the map to build
MACRO_CHOOSE,Choose a building, then click provinces
MACRO_CANCEL,Cancel building
REL,rel
REL_IMPROVE,improving relations
