APP_NAME,Гранд Стратегия
BOOT_TITLE,ГРАНД СТРАТЕГИЯ
BOOT_STATUS_LOADING,Загрузка...
BOOT_STATUS_READY,Готово
GOOD_FOOD,Продовольствие
GOOD_TIMBER,Древесина
GOOD_IRON,Железная руда
GOOD_COAL,Уголь
GOOD_OIL,Нефть
GOOD_GAS,Природный газ
GOOD_STEEL,Сталь
GOOD_CEMENT,Цемент
GOOD_TEXTILES,Текстиль
GOOD_ELECTRONICS,Электроника
GOOD_MACHINERY,Машины
GOOD_VEHICLES,Транспорт
GOOD_GOLD,Золото
GOOD_RARE_METALS,Редкие металлы
GOOD_CONSUMER_GOODS,Товары потребления
GOOD_ELECTRICITY,Электроэнергия
CUR_USD,Доллар США
CUR_EUR,Евро
CUR_GBP,Фунт стерлингов
CUR_JPY,Иена
CUR_CNY,Юань
CUR_RUB,Рубль
CUR_INR,Рупия
CUR_CHF,Швейцарский франк
CUR_BRL,Реал
CUR_OTHER,Прочая
BLD_FARM,Ферма
BLD_MINE,Шахта
BLD_FACTORY,Завод
BLD_PORT,Порт
BLD_BARRACKS,Казармы
BLD_FORT,Форт
BLD_UNIVERSITY,Университет
BLD_HOSPITAL,Больница
BLD_ROAD,Дорога
BLD_POWER_PLANT,Электростанция
GOV_MONARCHY,Монархия
GOV_REPUBLIC,Республика
GOV_THEOCRACY,Теократия
GOV_DICTATORSHIP,Диктатура
GOV_TRIBAL,Племенной строй
GOV_CONSTITUTIONAL_MONARCHY,Конституционная монархия
GOV_PARLIAMENTARY_REPUBLIC,Парламентская республика
GOV_PRESIDENTIAL_REPUBLIC,Президентская республика
LAW_CONSCRIPTION,Воинская повинность
LAW_PROFESSIONAL_ARMY,Профессиональная армия
LAW_FREE_TRADE,Свободная торговля
LAW_PROTECTIONISM,Протекционизм
LAW_PLANNED_ECONOMY,Плановая экономика
LAW_MARKET_ECONOMY,Рыночная экономика
LAW_WELFARE_STATE,Социальное государство
LAW_COMPULSORY_EDUCATION,Обязательное образование
LAW_UNIVERSAL_HEALTHCARE,Всеобщее здравоохранение
LAW_CENSORSHIP,Цензура
LAW_FREE_PRESS,Свободная пресса
UNIT_INFANTRY,Пехота
UNIT_CAVALRY,Кавалерия
UNIT_ARTILLERY,Артиллерия
EVT_ECONOMIC_BOOM_TITLE,Экономический подъём
EVT_ECONOMIC_BOOM_DESC,Ваша экономика процветает.
EVT_RECESSION_TITLE,Рецессия
EVT_RECESSION_DESC,Ваша экономика сокращается.
EVT_POP_GROWTH_TITLE,Рост населения
EVT_POP_GROWTH_DESC,Ваше население растёт.
EVT_OPT_OK,ОК
unclaimed,Ничья земля
TECH_AGRICULTURE,Сельское хозяйство
TECH_INDUSTRIALIZATION,Индустриализация
TECH_ECONOMICS,Экономика
TECH_MILITARY_DOCTRINE,Военная доктрина
TECH_CONSCRIPTION_DOCTRINE,Призывная доктрина
TECH_EDUCATION,Образование
TECH_ADVANCED_INDUSTRY,Передовая промышленность
TECH_MODERN_LOGISTICS,Современная логистика
FORM_SCANDINAVIA,Скандинавия
FORM_GERMANY,Германская конфедерация
FORM_ARAB_LEAGUE,Арабская лига
FORM_GRAN_COLOMBIA,Великая Колумбия
FORM_CENTRAL_ASIA,Центральноазиатский союз
HUD_PAUSE,Пауза
HUD_SPEED_DOWN,Скорость -
HUD_SPEED_UP,Скорость +
HUD_END_TURN,Конец хода
HUD_SAVE,Сохранить
HUD_LOAD,Загрузить
PANEL_PROVINCE,Провинция
PANEL_COUNTRY,Страна
PANEL_TARGET,Цель
PANEL_TECHNOLOGY,Технологии
PANEL_RESEARCH,Исследования
PANEL_DECISIONS,Решения
ACT_BUILD_INFRA,Строить инфраструктуру (-500)
ACT_RECRUIT,Нанять армию (Пехота x5)
MSG_ARMY_RECRUITED,Армия нанята
ACT_TAX_PLUS,Подоходный налог +
ACT_TAX_MINUS,Подоходный налог -
ACT_CHANGE_GOV,Сменить правление
ACT_CHANGE_IDEOLOGY,Сменить идеологию
ACT_IMPROVE_REL,Улучшить отношения
ACT_ALLIANCE,Заключить альянс
ACT_DECLARE_WAR,Объявить войну
ACT_WHITE_PEACE,Белый мир
ACT_PEACE_CEDE,Мир: уступить оккупированное
ACT_PEACE_PUPPET,Мир: вассалитет
ACT_PEACE_ANNEX,Мир: аннексия
ACT_EMBARGO,Переключить эмбарго
ACT_TRADE_AGREEMENT,Сменить торг. соглашение
ACT_FORM,Сформировать
MENU_NEW_GAME,Новая игра
MENU_CONTINUE,Продолжить
MENU_LOAD,Загрузить
MENU_SETTINGS,Настройки
MENU_CREDITS,О создании
MENU_QUIT,Выход
MENU_BACK,Назад
MENU_NO_DATA,Данные мира не найдены — сначала запустите MapImporterTool
NEWGAME_TITLE,Новая игра
NEWGAME_DATE,Дата начала
NEWGAME_DIFFICULTY,Сложность
